Представление,Основной контакт,ЭДО,Основные сведения
1С-ОНЛАЙН ООО,Курдин Александр Сергеевич,,"ООО ""1С-ОНЛАЙН""
ИНН 7709740262
КПП 774301001
ОГРН 5077746813282
online@1c.ru
125130, Город Москва, вн.тер. г. Муниципальный Округ Коптево, ул Клары Цеткин, дом 26А, строение 2, эт/ком 1/8
(495) 450-6300
125130, Город Москва, вн.тер. г. Муниципальный Округ Коптево, ул Клары Цеткин, дом 26А, строение 2, эт/ком 1/8
125130, Город Москва, вн.тер. г. Муниципальный Округ Коптево, ул Клары Цеткин, дом 26А, строение 2, эт/ком 1/8


Курдин Александр Сергеевич
Клешнина Ольга Васильевна"
21 ВЕК ООО,Карташов Сергей Николаевич,,"ООО ""21 ВЕК""
ИНН 5031105475
КПП 500101001
ОГРН 1135031001236
zakaz@kspecmash.ru
+7 (495) 225-58-41
143909, Московская область, г. Балашиха, пр-д Покровский, дом 4
143909, Московская область, г. Балашиха, пр-д Покровский, дом 4
Карташов Сергей Николаевич
Володько Антон"
246528355,,1,"246528355
Сезнева Ирина"
2РС ООО,Локтионов Сергей Александрович,1,"ООО ""2РС""
ИНН 3435099167
КПП 343501001
ОГРН 1093435001087
alexey@rospod.ru
+7(8443)202494
404122, Волгоградская обл, г. Волжский, ул. Кирова, дом 19
404122, Волгоградская обл, г. Волжский, ул. Кирова, дом 19
Локтионов Сергей Александрович
Панова Елена Владимировна"
2С ООО,Хисмутин Анатолий Анатольевич,1,"ООО ""2С""
ИНН 2460256090
КПП 246501001
ОГРН 1142468047193
660131, Красноярский край, г. Красноярск, ул. Ястынская, дом 1Г, помещение 2
660131, Красноярский край, г. Красноярск, ул. Ястынская, дом 1Г, помещение 2
Хисмутин Анатолий Анатольевич
Прыткина Анна Николаевна"
381801945189,,1,"381801945189 
Поздняков Евгений"
4-ВД ООО,Арсеньев Александр Викторович,1,"ООО ""4-ВД""
ИНН 7743889569
КПП 774301001
ОГРН 1137746449170
adz@autoventuri.ru
8-800-333-84-45
+7 (499) 444-84-45 доб 115
125080, Москва г, Волоколамское ш, дом 15/22, помещение IX, этаж П, комната 6
125080, Москва г, Волоколамское ш, дом 15/22, помещение IX, этаж П, комната 6
Арсеньев Александр Викторович
Сезнева Ирина"
555 ООО,,1,"ООО ""555""
ИНН 1901118698
3902-288-167, 89135420315
655017, Республика Хакасия, г. Абакан, ул. Крылова, д.68, корпус А, офис 7Н
655017, Республика Хакасия, г. Абакан, ул. Крылова, д.68, корпус А, офис 7Н"
А КЛИМАТ ООО,Логвин Александр Анатольевич,1,"ООО ""А КЛИМАТ""
ИНН 2465266744
КПП 246501001
ОГРН 1122468006165
stroix@mail.ru
+7 (391) 2888154
+7 (391) 2052535
+7 (391) 3927798
660055, Красноярский край, г. Красноярск, ул. Джамбульская, дом 16, офис 3-05
660055, Красноярский край, г. Красноярск, ул. Джамбульская, дом 16, офис 3-05
Логвин Александр Анатольевич
Сотникова Татьяна Викторовна"
А.ВОДОПАД ООО,Каплан Андрей Юрьевич,,"ООО ""А.ВОДОПАД""
ИНН 7805676330
КПП 780201001
ОГРН 1167847270821
i.e.kononovich@vodopad.ru
+7 (812) 600-50-10 доб. 2027
195277, Город Санкт-Петербург, вн.тер. г. Муниципальный Округ Сампсониевское, наб Выборгская, дом 29, литера А, помещение 9-Н, 18-Н, ОФИС № 216, комната 3
195277, Город Санкт-Петербург, вн.тер. г. Муниципальный Округ Сампсониевское, наб Выборгская, дом 29, литера А, помещение 9-Н, 18-Н, ОФИС № 216, комната 3
Каплан Андрей Юрьевич
Васильев Игорь Дмитриевич"
А.КОНКОРД ООО АП,,1,"ООО АП ""А.КОНКОРД""
ИНН 2465214440
КПП 246601001
ОГРН 1082468049333
660049, Красноярский край, Красноярск г, Карла Маркса ул, дом № 48, офис 12-04
660049, Красноярский край, Красноярск г, Карла Маркса ул, дом № 48, офис 12-04"
А.П.Р. ООО,Туленко Екатерина Сергеевна,1,"ООО ""А.П.Р.""
ИНН 7721844807
КПП 246545001
ОГРН 5147746038380
akhalyukov@krasnoyarsk.armtek.ru
+7(391) 296-78-44, вн. номер 7865
109428, Москва г, ул. Зарайская, дом 21, комната 306
109428, Москва г, ул. Зарайская, дом 21, комната 306
Туленко Екатерина Сергеевна
Клешнина Ольга Васильевна"
А/С СЕВЕР ООО,Галицкий Валерий Викторович,,"ООО А/С СЕВЕР
ИНН 0302000328
КПП 030201001
ОГРН 1020300523297
Sеver-as2010@yandex.ru
671516, Республика Бурятия, р-н Баунтовский Эвенкийский, п. Северный, ул. Геологическая, дом 10
(301-53) 56-2-85
671516, Республика Бурятия, р-н Баунтовский Эвенкийский, п. Северный, ул. Геологическая, дом 10
671516, Республика Бурятия, р-н Баунтовский Эвенкийский, п. Северный, ул. Геологическая, дом 10
Галицкий Валерий Викторович
Молчанов Семен Сергеевич"
ААЦ ООО,Фильков Андрей Михайлович,,"ООО ""ААЦ""
ИНН 7709422559
КПП 770901001
ОГРН 1037709042470
frolova@aac.ru
+7 (495) 500-56-56, +7 (495) 500-56-50
109004, Город Москва, вн.тер. г. Муниципальный Округ Таганский, ул Александра Солженицына, дом 27, помещение 1/2
109004, Город Москва, вн.тер. г. Муниципальный Округ Таганский, ул Александра Солженицына, дом 27, помещение 1/2
Фильков Андрей Михайлович
Калинин Дмитрий Владимирович"
Абазинское промысловое хозяйство ООО,,1,"ООО ""Абазинское промысловое хозяйство""
ИНН 1909051942
Абаза г, Кулакова ул, д. №137
Абаза г, Кулакова ул, д. №137"
АБАЛАКОВСКАЯ ЛПК ООО,Абдуллоев Давронжон Кодирович,1,"ООО ""АБАЛАКОВСКАЯ ЛПК""
ИНН 2454026003
КПП 245401001
ОГРН 1162468079531
662544, Красноярский край, г. Лесосибирск, ул. Привокзальная, дом 12
662544, Красноярский край, г. Лесосибирск, ул. Привокзальная, дом 12
Абдуллоев Давронжон Кодирович
Ощепков Андрей Сергеевич"
АБАТАК СТ ООО,Слепченко Андрей Сергеевич,1,"ООО ""АБАТАК СТ""
ИНН 2465326295
КПП 246501001
ОГРН 1192468028906
660131, Красноярский край, Красноярск г, Ястынская ул, дом 19, квартира 11
660131, Красноярский край, Красноярск г, Ястынская ул, дом 19, квартира 11


Слепченко Андрей Сергеевич
Сезнева Ирина"
АБИТ ООО,,1,"ООО ""АБИТ""
ИНН 7804027573
project@abit.spb.ru что и Волохов
812-326-85-93
196105, г. Санкт-Петербург, пр-кт Юрия Гагарина, д.2, оф. 3-17
196105, г. Санкт-Петербург, пр-кт Юрия Гагарина, д.2, оф. 3-17"
Аблятов Руслан Эшрефович ИП,,1,"ИП Аблятов Руслан Эшрефович
ИНН 504709298758
edial-avto@yandex.ru
115211 г.Москва, Борисовские пруды, дом 14, корпус 2, квартира 228
+79262383838
115211 г.Москва, Борисовские пруды, дом 14, корпус 2, квартира 228
115211 г.Москва, Борисовские пруды, дом 14, корпус 2, квартира 228
Комаров Николай"
Абразив-Енисей ООО,Халецкий Артемий Владимирович,1,"ООО ""Абразив-Енисей""
ИНН 2465288603
КПП 246501001
abrasiv24@mail.ru
660020, Красноярский край, г. Красноярск, ул. Дудинская, д.12а; 1-05
660020, Красноярский край, г. Красноярск, ул. Дудинская, д.12а; 1-05


Халецкий Артемий Владимирович
Кладовщик"
АБРИС МЕБЕЛЬ ООО,Альбрант Денис Сергеевич,1,"ООО ""АБРИС МЕБЕЛЬ""
ИНН 2466285771
КПП 246601001
ОГРН 1202400030051
2313066@mail.ru
2035526@mail.ru
660043, Красноярский край, Красноярск г., Линейная ул., дом 105, квартира 34
660043, Красноярский край, Красноярск г., Линейная ул., дом 105, квартира 34
Альбрант Денис Сергеевич
Клешнина Ольга Васильевна"
АБС24 ООО,Рощенко Александр Алексеевич,,"ООО ""АБС24""
ИНН 2466087427
КПП 246001001
ОГРН 1022402654944
(391) 219-77-47
660062, Красноярский край, г. Красноярск, ул. Телевизорная, дом 4Г, помещение 4
660062, Красноярский край, г. Красноярск, ул. Телевизорная, дом 4Г, помещение 4
Рощенко Александр Алексеевич
Клешнина Ольга Васильевна"
АБСОЛЮТ ООО,Кузнецов Евгений Александрович,1,"ООО ""АБСОЛЮТ""
ИНН 2461214142
КПП 246101001
ОГРН 1112468043357
660025, Красноярский край, Красноярск г, Им.газеты ""красноярский Рабочий"" пр-кт, дом 91
660025, Красноярский край, Красноярск г, Им.газеты ""красноярский Рабочий"" пр-кт, дом 91


Кузнецов Евгений Александрович
Администратор"
Абсолютная Энергия ООО,,1,"ООО ""Абсолютная Энергия""
ИНН 2461220636
83912287078
660059, г. Красноярск, ул. Коммунальная, д.2
660059, г. Красноярск, ул. Коммунальная, д.2"
АБТ ПЛАСТ ООО,,,"ООО ""АБТ ПЛАСТ""
ИНН 6323089737
КПП 632401001
ОГРН 1066320152645
445007, Самарская обл, Тольятти г, Новозаводская ул, дом № 2А, корпус 41
445007, Самарская обл, Тольятти г, Новозаводская ул, дом № 2А, корпус 41"
АВАЛОНАВТО ООО,Лихоманов Евгений Геннадьевич,1,"ООО ""АВАЛОНАВТО""
ИНН 2539052411
КПП 253901001
ОГРН 1022502129650
contractparts@avalonauto.ru
8(4232)313771
+7 908 999-31-31
690041, Приморский край, Владивосток г, Вересковая ул, дом 25
690041, Приморский край, Владивосток г, Вересковая ул, дом 25
Лихоманов Евгений Геннадьевич
Клешнина Ольга Васильевна"
АВАНГАРД ООО,Сыпало Егор Александрович,,"ООО ""АВАНГАРД""
ИНН 3849020250
КПП 381101001
ОГРН 1123850002011
89149444111
664047, Иркутская область, г Иркутск, ул Карла Либкнехта, строение 121, офис 305
664047, Иркутская область, г Иркутск, ул Карла Либкнехта, строение 121, офис 305
Сыпало Егор Александрович
Ковалёв Михаил"
АВАНГАРД ООО СК,Дубровин Анатолий Николаевич,1,"ООО СК ""АВАНГАРД""
ИНН 2466177617
КПП 246501001
ОГРН 1162468124895
660135, Красноярский край, г.о. Город Красноярск, г Красноярск, ул Молокова, дом 66, помещение 351
660135, Красноярский край, г.о. Город Красноярск, г Красноярск, ул Молокова, дом 66, помещение 351
Дубровин Анатолий Николаевич
Ощепков Андрей Сергеевич"
АВАНГАРД СИБИРЬ ООО,,,"ООО ""АВАНГАРД СИБИРЬ""
ИНН 2465123560
КПП 246001001
ОГРН 1152468017173
rimma-ura101@mail.ru
660048, Красноярский край, г. Красноярск, ул. Маерчака, дом 53, офис 205
83912505753
660048, Красноярский край, г. Красноярск, ул. Маерчака, дом 53, офис 205
660048, Красноярский край, г. Красноярск, ул. Маерчака, дом 53, офис 205
Васильев Игорь Дмитриевич"
АВАНГАРД-ТОРГ ООО,Мардин Александр Анатольевич,1,"ООО ""АВАНГАРД-ТОРГ""
ИНН 1435150878
КПП 143501001
ОГРН 1041402048016
oooavt@inbox.ru
677009, Республика Саха (Якутия), г. Якутск, ул. Жорницкого, дом 9, корпус 3
+7 (4112) 33-26-61
677009, Республика Саха (Якутия), г. Якутск, ул. Жорницкого, дом 9, корпус 3
677009, Республика Саха (Якутия), г. Якутск, ул. Жорницкого, дом 9, корпус 3


Мардин Александр Анатольевич
СБХ 454
Передня Елена Андреевна"
АВАНД + ООО,,1,"ООО""АВАНД +""
ИНН 2465327154
КПП 246501001
ОГРН 1192468033075
515084-az@mail.ru
660127, Красноярский край, Красноярск г, Мате Залки ул, дом 41, помещение 277
(391) 278-14-99
660127, Красноярский край, Красноярск г, Мате Залки ул, дом 41, помещение 277
660127, Красноярский край, Красноярск г, Мате Залки ул, дом 41, помещение 277"
АВГУСТ ООО,Смирнова Екатерина Валентиновна,,"ООО ""АВГУСТ""
ИНН 2462030571
КПП 246001001
order@901561.ru
8(391)2906-001
8(905)974-38-88
660062, Красноярский край, г.о. город Красноярск, г Красноярск, ул Телевизорная, Дом 4г
660062, Красноярский край, г.о. город Красноярск, г Красноярск, ул Телевизорная, Дом 4г
Смирнова Екатерина Валентиновна
Сезнева Ирина"
АВЕДЭКС ООО,Ростовцев Алексей Геннадьевич,1,"ООО ""АВЕДЭКС""
ИНН 2463002217
КПП 246201001
ОГРН 1022402122346
660031, Красноярский край, г.о. Город Красноярск, г Красноярск, ул Айвазовского, дом 57, литера В4, помещение 11
660031, Красноярский край, г.о. Город Красноярск, г Красноярск, ул Айвазовского, дом 57, литера В4, помещение 11
Ростовцев Алексей Геннадьевич
Ластовецкий Евгений"
АВЕЗА ООО,Кузьмин Илья Юрьевич,,"ООО ""АВЕЗА""
ИНН 7810775584
КПП 781001001
ОГРН 1197847193873
info@aveza.ru
8 (800) 333-41-78
196233, Город Санкт-Петербург, вн.тер. г. Муниципальный Округ Гагаринское, ул Типанова, дом 38, литера А, помещение 57-Н, комната 2
196233, Город Санкт-Петербург, вн.тер. г. Муниципальный Округ Гагаринское, ул Типанова, дом 38, литера А, помещение 57-Н, комната 2
Кузьмин Илья Юрьевич
Володько Антон"
АВЕЛЕС ООО,Сайко Виталий Викторович,1,"ООО ""АВЕЛЕС""
ИНН 2466183949
КПП 246601001
ОГРН 1172468046728
aveles24@mail.ru
+79676120309
660017, Красноярский край, г. Красноярск, ул. Урицкого, дом 125, квартира 4
660017, Красноярский край, г. Красноярск, ул. Урицкого, дом 125, квартира 4
Сайко Виталий Викторович
Прыткина Анна Николаевна"
АВЕНИР М ООО,Новиков Максим Анатольевич,,"ООО ""АВЕНИР М""
ИНН 2543066488
КПП 253601001
ОГРН 1152543005042
690091, Приморский край, г.о. Владивостокский, г Владивосток, ул Суханова, дом 4Б, помещение 1
690091, Приморский край, г.о. Владивостокский, г Владивосток, ул Суханова, дом 4Б, помещение 1
690091, Приморский край, г.о. Владивостокский, г Владивосток, ул Суханова, дом 4Б, помещение 1


Новиков Максим Анатольевич
Администратор"
Авиа Карго Сервис (АКС) ООО,Башарина Татьяна Владимировна,1,"ООО ""АКС""
ИНН 5257051743
КПП 525901001
ОГРН 1025202400409
603079, Нижегородская область, г. Нижний Новгород, ш. Московское, дом 83А, ЛИТЕРА А, ПОМЕЩЕНИЕ 9
603079, Нижегородская область, г. Нижний Новгород, ш. Московское, дом 83А, ЛИТЕРА А, ПОМЕЩЕНИЕ 9
603079, Нижегородская область, г. Нижний Новгород, ш. Московское, дом 83А, ЛИТЕРА А, ПОМЕЩЕНИЕ 9


Башарина Татьяна Владимировна
Прыткина Анна Николаевна"
АВИА-БИЗНЕС ООО,,1,"ООО ""АВИА-БИЗНЕС""
ИНН 3812099817
КПП 381101001
ОГРН 1073812007763
664081, Иркутская обл, Иркутск г, Зверева ул, дом № 52, помещение 7-В-1
664081, Иркутская обл, Иркутск г, Зверева ул, дом № 52, помещение 7-В-1"
АВИАСЕЙЛС БИЗНЕС ООО,Битерякова Екатерина Александровна,,"ООО ""АВИАСЕЙЛС БИЗНЕС""
ИНН 9710080462
КПП 771001001
ОГРН 1197746731214
elena.lopatina@aviasales.ru
elena.lopatina2009@aviasales.ru
123001, город Москва, пер. Трёхпрудный, дом 11/13, строение 2, ПОДЪЕЗД 6/Э.1/ПОМ.3/ОФ.3/К.1
123001, город Москва, пер. Трёхпрудный, дом 11/13, строение 2, ПОДЪЕЗД 6/Э.1/ПОМ.3/ОФ.3/К.1
123001, город Москва, пер. Трёхпрудный, дом 11/13, строение 2, ПОДЪЕЗД 6/Э.1/ПОМ.3/ОФ.3/К.1
Битерякова Екатерина Александровна
Администратор"
АВИАСТАР ПЕТЕРБУРГ ООО,,,"ООО ""АВИАСТАР ПЕТЕРБУРГ""
ИНН 7810041488
КПП 781001001
ОГРН 1057812717104
196158, Санкт-Петербург г, Московское ш, дом № 25, корпус 1, литера В
196158, Санкт-Петербург г, Московское ш, дом № 25, корпус 1, литера В"
Авиатор ООО,,1,"ООО ""Авиатор""
ИНН 2465282545
228-90-62
660133, г. Красноярск, ул. Малиновского, д.11Г, стр. 4, кор. 2
660133, г. Красноярск, ул. Малиновского, д.11Г, стр. 4, кор. 2"
АВИАТРАНСКАРГО ООО,,1,"ООО ""АВИАТРАНСКАРГО""
ИНН 5405018703
КПП 540501001
ОГРН 1185476003052
630028, Новосибирская обл, Новосибирск г, Кирова ул, дом № 360/1, квартира 4
630028, Новосибирская обл, Новосибирск г, Кирова ул, дом № 360/1, квартира 4"
АВИАЦИОННЫЕ МЕТАЛЛЫ И КОМПОНЕНТЫ ООО,,1,"ООО ""АВИАЦИОННЫЕ МЕТАЛЛЫ И КОМПОНЕНТЫ""
ИНН 9715255853
КПП 771501001"
АВС ЦЕНТР ООО,Яшин Дмитрий Сергеевич,,"ООО ""АВС ЦЕНТР""
ИНН 9715292076
КПП 773401001
ОГРН 1177746123884
krsk.opt@avstorg.ru
8 923 242-78-36
123423, Город Москва, ул. Народного Ополчения, дом 34, ЭТ,ОФ 2,7А
123423, Город Москва, ул. Народного Ополчения, дом 34, ЭТ,ОФ 2,7А
Яшин Дмитрий Сергеевич
Володько Антон"
АВТ ООО,Морозов Олег Анатольевич,1,"ООО ""АВТ""
ИНН 6321345456
КПП 632101001
ОГРН 1146320007910
avt.tlt.163@gmail.com
445047, Самарская область, г. Тольятти, ул. Тополиная, дом 15, квартира 79
(8482) 37-80-89
445047, Самарская область, г. Тольятти, ул. Тополиная, дом 15, квартира 79
445047, Самарская область, г. Тольятти, ул. Тополиная, дом 15, квартира 79


Морозов Олег Анатольевич
Дубинина Светлана Валерьевна"
АВТО ВОРЛД ООО,Савин Федор Михайлович,1,"ООО ""АВТО ВОРЛД""
ИНН 7810367539
КПП 781101001
ОГРН 1157847230860
sale@avto.world
192019, город Санкт-Петербург, ул. Смоляная, дом 9, литер А, офис 218
+7(812) 3391803
192019, город Санкт-Петербург, ул. Смоляная, дом 9, литер А, офис 218
192019, город Санкт-Петербург, ул. Смоляная, дом 9, литер А, офис 218


Савин Федор Михайлович
Прыткина Анна Николаевна"
АВТО КОЛИЗЕЙ ООО,Ремез Федор Леонидович,1,"ООО ""АВТО КОЛИЗЕЙ""
ИНН 2543041638
КПП 254301001
ОГРН 1142543002183
690074, Приморский край, Владивосток г, Снеговая ул, дом 4, корпус А
690074, Приморский край, Владивосток г, Снеговая ул, дом 4, корпус А


Ремез Федор Леонидович
Клешнина Ольга Васильевна"
АВТО ТЯГА ООО,Афанасьев Алексей Михайлович,1,"ООО ""АВТО ТЯГА""
ИНН 7715145399
КПП 771501001
ОГРН 1147748154652
masterwinch@gmail.com
8 (495) 939-09-08
127254, Москва г, Огородный проезд, дом 5, строение 3, офис 402
127254, Москва г, Огородный проезд, дом 5, строение 3, офис 402
Афанасьев Алексей Михайлович
Клешнина Ольга Васильевна"
АВТО ЭКО ООО,Коровякин Виталий Владимирович,,"ООО ""АВТО ЭКО""
ИНН 2464134209
КПП 246401001
ОГРН 1172468007910
info@ae124.ru
7 (391) 258-85-80, доб. 3
660064, Красноярский край, г Красноярск, ул Академика Вавилова, дом 2, помещение 7
660064, Красноярский край, г Красноярск, ул Академика Вавилова, дом 2, помещение 7
Коровякин Виталий Владимирович
Клешнина Ольга Васильевна"
АВТОАЗАРТ ООО,,,"ООО ""АВТОАЗАРТ""
ИНН 2464212270
КПП 246401001
ОГРН 1082468050499
opt-krk3@autoazart.ru
660064, Красноярский край, г Красноярск, ул Академика Вавилова, д. 1, стр. 48
+7-902-982-99-80
282-97-57
660064, Красноярский край, г Красноярск, ул Академика Вавилова, д. 1, стр. 48
660064, Красноярский край, г Красноярск, ул Академика Вавилова, д. 1, стр. 48
Администратор"
АВТОАЛЬЯНС ООО,Папоротский Александр Владимирович,,"ООО ""АВТОАЛЬЯНС""
ИНН 7751213277
КПП 775101001
ОГРН 1227700012440
Oksanava@autoopt.ru
8-913-799-97-09
108813, город Москва, вн.тер. г. Поселение Московский, г. Московский, ул Солнечная, дом 3А, строение 1, этаж/офис 2/20
108813, город Москва, вн.тер. г. Поселение Московский, г. Московский, ул Солнечная, дом 3А, строение 1, этаж/офис 2/20
Папоротский Александр Владимирович
Володько Антон"
АВТОАРМИКА ООО,Баландин Олег Николаевич,1,"ООО ""АВТОАРМИКА""
ИНН 9701093070
КПП 770101001
ОГРН 5177746144857
105082, город Москва, ул. Большая Почтовая, дом 26В, строение 2, АН/ПОМ/КАБ 3/I/5
105082, город Москва, ул. Большая Почтовая, дом 26В, строение 2, АН/ПОМ/КАБ 3/I/5
105082, город Москва, ул. Большая Почтовая, дом 26В, строение 2, АН/ПОМ/КАБ 3/I/5


Баландин Олег Николаевич
Прыткина Анна Николаевна"
АВТОБАКС ООО,Меньшиков Сергей Анатольевич,1,"ООО ""АВТОБАКС""
ИНН 2463226432
КПП 246301001
ОГРН 1112468008730
autobacs24@gmail.com
+7(391) 281-23-30
660061, Красноярский край, г. Красноярск, ул. Калинина, дом 53, строение 2, помещение 3
660061, Красноярский край, г. Красноярск, ул. Калинина, дом 53, строение 2, помещение 3
Меньшиков Сергей Анатольевич
Панова Елена Владимировна"
АВТОГАЗСЕРВИС ООО,Журавлев Владимир Георгиевич,,"ООО ""АВТОГАЗСЕРВИС""
ИНН 1215070112
КПП 121501001
ОГРН 1021200762549
buhg@avto5kia.ru
+7 (836) 238-30-30
424006, Республика Марий Эл, г. Йошкар-Ола, ул. Строителей, дом 110
424006, Республика Марий Эл, г. Йошкар-Ола, ул. Строителей, дом 110
Журавлев Владимир Георгиевич
Клешнина Ольга Васильевна"
АВТОГРАД ООО,Уфаркин Александр Сергеевич,1,"ООО ""АВТОГРАД""
ИНН 7327078223
КПП 732701001
ОГРН 1167325060143
muhitov73@yandex.ru
(8422) 40-75-86, 40-75-85
8-927-829-22-22
432049, Ульяновская обл, г. Ульяновск, ул. Азовская, дом 82А
432049, Ульяновская обл, г. Ульяновск, ул. Азовская, дом 82А
Уфаркин Александр Сергеевич
Панова Елена Владимировна"
АВТОГРАФ ООО,,1,"ООО ""АВТОГРАФ""
ИНН 2464141693
КПП 246401001
ОГРН 1182468010141
660064, Красноярский край, Красноярск г, Парусная ул, дом № 8, квартира 129
660064, Красноярский край, Красноярск г, Парусная ул, дом № 8, квартира 129"
АВТОГРУЗ ООО,Серов Александр Сергеевич,,"ООО ""АВТОГРУЗ""
ИНН 2411030365
КПП 246501001
ОГРН 1202400013947
+7 923 354-40-94
660118, Красноярский край, г.о. Город Красноярск, г Красноярск, ш Северное, дом 7И, строение 2, помещение 8
660118, Красноярский край, г.о. Город Красноярск, г Красноярск, ш Северное, дом 7И, строение 2, помещение 8
Серов Александр Сергеевич
Ермаков Владислав"
АВТОДЕТАЛЬ ООО,Войтехович Иван Сергеевич,,"ООО ""АВТОДЕТАЛЬ""
ИНН 7734411864
КПП 773401001
ОГРН 1187746352925
m.lend@list.ru
+74996382306, +7 (905) 592-70-87
123181, Город Москва, вн.тер. г. Муниципальный Округ Строгино, пр-д Неманский, дом 4, корпус 1, этаж 1 ПОМ II КОМ 3
123181, Город Москва, вн.тер. г. Муниципальный Округ Строгино, пр-д Неманский, дом 4, корпус 1, этаж 1 ПОМ II КОМ 3
Войтехович Иван Сергеевич
Калинин Дмитрий Владимирович"
АВТОДЖИЭСЭМ ООО,Демидов Денис Юрьевич,1,"ООО ""АВТОДЖИЭСЭМ""
ИНН 6168093119
КПП 616801001
ОГРН 1176196027754
avtogsm@avtogsm.ru
344090, Ростовская обл, г. Ростов-На-Дону, ул. 2-Я Патриотическая, дом 59, офис 1
344090, Ростовская обл, г. Ростов-На-Дону, ул. 2-Я Патриотическая, дом 59, офис 1
Демидов Денис Юрьевич
Клешнина Ольга Васильевна"
АВТОДИЗАЙНСЕРВИС ФИРМА ООО,Тюшнякова Татьяна Федоровна,,"ООО ФИРМА ""АВТОДИЗАЙНСЕРВИС""
ИНН 1650057528
КПП 165001001
ОГРН 1031616016080
info@ads116.ru
8 800 707-56-08
423838, Татарстан респ, Набережные Челны г, Портовая ул, дом 55, квартира 2
423838, Татарстан респ, Набережные Челны г, Портовая ул, дом 55, квартира 2
Тюшнякова Татьяна Федоровна
Клешнина Ольга Васильевна"
